personLabel,birthdate,birthplaceLabel,birthcoord,deathdate,deathplaceLabel,deathcoord,occupationLabel,genderLabel,bloc,dloc
Satnam Singh Mann,1988-08-19T00:00:00Z,Gaya,Point(85.016666666 24.75),2012-08-04T00:00:00Z,Thiruvananthapuram,Point(76.9525 8.4875),,male,"24.75,85.016666666","8.4875,76.9525"
Jiah Khan,1988-02-20T00:00:00Z,New York City,Point(-74.006111111 40.712777777),2013-06-03T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,female,"40.712777777,-74.006111111","19.075833333,72.8775"
Renjusha Menon,1988-01-01T00:00:00Z,Kerala,Point(76.3 10.0),2023-10-30T00:00:00Z,Thiruvananthapuram,Point(76.9525 8.4875),,female,"10.0,76.3","8.4875,76.9525"
Mishti Mukherjee,1987-12-20T00:00:00Z,Kolkata,Point(88.37 22.5675),2020-02-02T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),,female,"22.5675,88.37","12.9791198,77.5912997"
Akhil Mehta,1987-09-19T00:00:00Z,New Delhi,Point(77.208888888 28.613888888),2015-03-28T00:00:00Z,Ghaziabad,Point(77.416666666 28.666666666),,male,"28.613888888,77.208888888","28.666666666,77.416666666"
G. Lasya Nanditha,1987-01-01T00:00:00Z,Hyderabad,Point(78.474722222 17.361666666),2024-02-23T00:00:00Z,Patancheru,Point(78.27 17.53),,female,"17.361666666,78.474722222","17.53,78.27"
Jyoti Prakash Nirala,1986-11-15T00:00:00Z,Rohtas district,Point(84.01 24.95),2017-11-18T00:00:00Z,Bandipore district,Point(74.65 34.42),,male,"24.95,84.01","34.42,74.65"
Nirmal Benny,1986-03-15T00:00:00Z,Edakkochi,Point(76.25916667 9.93527778),2024-08-23T00:00:00Z,Thiruvananthapuram,Point(76.9525 8.4875),,male,"9.93527778,76.25916667","8.4875,76.9525"
Sushant Singh Rajput,1986-01-21T00:00:00Z,Patna,Point(85.141388888 25.61),2020-06-14T00:00:00Z,Bandra,Point(72.840555555 19.054444444),,male,"25.61,85.141388888","19.054444444,72.840555555"
Vikas Uppal,1986-01-01T00:00:00Z,Rohtak,Point(76.566666666 28.9),2007-06-30T00:00:00Z,Delhi,Point(77.216666666 28.666666666),,male,"28.9,76.566666666","28.666666666,77.216666666"
Saranya Sasi,1986-01-01T00:00:00Z,Pazhayangadi,Point(75.259722222 12.016666666),2021-08-09T00:00:00Z,Thiruvananthapuram,Point(76.9525 8.4875),,female,"12.016666666,75.259722222","8.4875,76.9525"
Akshay Girish Kumar,1985-12-06T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),2016-11-29T00:00:00Z,Nagrota,Point(74.916669444 32.816669444),,male,"12.9791198,77.5912997","32.816669444,74.916669444"
Ashwin Sundar,1985-07-27T00:00:00Z,Chennai,Point(80.275 13.0825),2017-03-18T00:00:00Z,Chennai,Point(80.275 13.0825),,male,"13.0825,80.275","13.0825,80.275"
Navdeep Singh,1985-06-08T00:00:00Z,Gurdaspur,Point(75.4 32.0333),2011-08-20T00:00:00Z,Gurez Tehsil,Point(75.11 34.520555555),,male,"32.0333,75.4","34.520555555,75.11"
Rahul Kumar,1985-03-25T00:00:00Z,Chandigarh,Point(76.791111111 30.735277777),2021-05-20T00:00:00Z,India,Point(83.0 22.8),,male,"30.735277777,76.791111111","22.8,83.0"
Rahul Kumar,1985-03-25T00:00:00Z,Chandigarh,Point(76.788333333 30.736388888),2021-05-20T00:00:00Z,India,Point(83.0 22.8),,male,"30.736388888,76.788333333","22.8,83.0"
V. Sethuraman,1984-10-29T00:00:00Z,Karaikudi,Point(78.78333333 10.06666667),2020-03-26T00:00:00Z,Chennai,Point(80.275 13.0825),,male,"10.06666667,78.78333333","13.0825,80.275"
Meenakshi Thapa,1984-10-04T00:00:00Z,Dehradun,Point(78.029 30.318),2012-04-19T00:00:00Z,Gorakhpur,Point(83.366666666 26.761111111),,female,"30.318,78.029","26.761111111,83.366666666"
K.M. Basheer,1984-07-13T00:00:00Z,Vaniyannur,Point(75.940602 10.92619),2019-08-03T00:00:00Z,Thiruvananthapuram,Point(76.9525 8.4875),,male,"10.92619,75.940602","8.4875,76.9525"
Srinivas Kuchibhotla,1984-03-09T00:00:00Z,Hyderabad,Point(78.474722222 17.361666666),2017-02-22T00:00:00Z,Olathe,Point(-94.8031 38.8808),,male,"17.361666666,78.474722222","38.8808,-94.8031"
Aarthi Aggarwal,1984-03-05T00:00:00Z,New Jersey,Point(-74.5 40.0),2015-06-06T00:00:00Z,Atlantic City,Point(-74.425 39.3625),,female,"40.0,-74.5","39.3625,-74.425"
Sandeep Acharya,1984-02-08T00:00:00Z,Bikaner,Point(73.316944444 28.018055555),2013-12-15T00:00:00Z,Gurgaon,Point(77.033333333 28.466666666),,male,"28.018055555,73.316944444","28.466666666,77.033333333"
Sandeep Acharya,1984-02-04T00:00:00Z,Bikaner,Point(73.316944444 28.018055555),2013-12-15T00:00:00Z,Gurgaon,Point(77.033333333 28.466666666),,male,"28.018055555,73.316944444","28.466666666,77.033333333"
Rajiv Xodiya,1984-01-01T00:00:00Z,Assam,Point(93.0 26.0),2025-01-13T00:00:00Z,Assam,Point(93.0 26.0),,male,"26.0,93.0","26.0,93.0"
Soccor Velho,1983-07-27T00:00:00Z,Goa,Point(74.043333333 15.401944444),2013-06-23T00:00:00Z,Margao,Point(73.958333333 15.271944444),,male,"15.401944444,74.043333333","15.271944444,73.958333333"
Danish Siddiqui,1983-05-19T00:00:00Z,New Delhi,Point(77.208888888 28.613888888),2021-07-16T00:00:00Z,Spin Boldak,Point(66.398055555 31.008055555),,male,"28.613888888,77.208888888","31.008055555,66.398055555"
Taraka Ratna,1983-02-22T00:00:00Z,Hyderabad,Point(78.474722222 17.361666666),2023-02-18T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),,male,"17.361666666,78.474722222","12.9791198,77.5912997"
Mayoori,1983-01-01T00:00:00Z,Kolkata,Point(88.37 22.5675),2005-06-16T00:00:00Z,Chennai,Point(80.275 13.0825),,female,"22.5675,88.37","13.0825,80.275"
Aditya Mandayam,1983-01-01T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),2019-01-01T00:00:00Z,Warsaw,Point(21.011111111 52.23),,male,"12.9791198,77.5912997","52.23,21.011111111"
K. Muthukumar,1982-11-19T00:00:00Z,Thoothukudi,Point(78.133333333 8.783333333),2009-01-29T00:00:00Z,Chennai,Point(80.275 13.0825),,male,"8.783333333,78.133333333","13.0825,80.275"
Sabar Koti,1982-10-25T00:00:00Z,Punjab,Point(75.466666666 30.766666666),2018-01-25T00:00:00Z,Jalandhar,Point(75.579166666 31.325555555),,male,"30.766666666,75.466666666","31.325555555,75.579166666"
Hanif Kureshi,1982-10-12T00:00:00Z,Talaja,Point(72.05 21.35),2024-09-22T00:00:00Z,Goa,Point(74.043333333 15.401944444),,male,"21.35,72.05","15.401944444,74.043333333"
Kushal Punjabi,1982-04-23T00:00:00Z,Mumbai,Point(72.8775 19.075833333),2019-12-26T00:00:00Z,Bandra,Point(72.840555555 19.054444444),,male,"19.075833333,72.8775","19.054444444,72.840555555"
Mukund Varadarajan,1982-04-12T00:00:00Z,Tambaram,Point(80.11 12.93),2014-04-25T00:00:00Z,Shopian,Point(74.83 33.72),,male,"12.93,80.11","33.72,74.83"
Neeraj Grover,1982-02-23T00:00:00Z,Kanpur,Point(80.331111111 26.4725),2008-05-07T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,male,"26.4725,80.331111111","19.075833333,72.8775"
Laila Khan,1982-01-01T00:00:00Z,Mumbai,Point(72.8775 19.075833333),2011-01-01T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,female,"19.075833333,72.8775","19.075833333,72.8775"
Rubina Shergill,1982-01-01T00:00:00Z,Chandigarh,Point(76.791111111 30.735277777),2012-01-12T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,female,"30.735277777,76.791111111","19.075833333,72.8775"
Rubina Shergill,1982-01-01T00:00:00Z,Chandigarh,Point(76.788333333 30.736388888),2012-01-12T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,female,"30.736388888,76.788333333","19.075833333,72.8775"
Hemashree,1982-01-01T00:00:00Z,Tumkur district,Point(77.1 13.34),2012-10-09T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),,female,"13.34,77.1","12.9791198,77.5912997"
Ranjani Hebbar,1982-01-01T00:00:00Z,Udupi,Point(74.746111111 13.332222222),2013-07-10T00:00:00Z,Udupi,Point(74.746111111 13.332222222),,female,"13.332222222,74.746111111","13.332222222,74.746111111"
Ranjani Hebbar,1982-01-01T00:00:00Z,Udupi,Point(74.74617 13.33467),2013-07-10T00:00:00Z,Udupi,Point(74.746111111 13.332222222),,female,"13.33467,74.74617","13.332222222,74.746111111"
Ranjani Hebbar,1982-01-01T00:00:00Z,Udupi,Point(74.746111111 13.332222222),2013-07-10T00:00:00Z,Udupi,Point(74.74617 13.33467),,female,"13.332222222,74.746111111","13.33467,74.74617"
Ranjani Hebbar,1982-01-01T00:00:00Z,Udupi,Point(74.74617 13.33467),2013-07-10T00:00:00Z,Udupi,Point(74.74617 13.33467),,female,"13.33467,74.74617","13.33467,74.74617"
B. Santosh Babu,1982-01-01T00:00:00Z,Suryapet,Point(79.6167 17.15),2020-06-15T00:00:00Z,Galwan River,Point(78.1657 34.7494),,male,"17.15,79.6167","34.7494,78.1657"
B. Santosh Babu,1982-01-01T00:00:00Z,Suryapet,Point(79.6167 17.15),2020-06-15T00:00:00Z,Galwan River,Point(78.2129 34.7697),,male,"17.15,79.6167","34.7697,78.2129"
B. Santosh Babu,1982-01-01T00:00:00Z,Suryapet,Point(79.6167 17.15),2020-06-15T00:00:00Z,Galwan River,Point(78.7558 34.725),,male,"17.15,79.6167","34.725,78.7558"
Deepak Aras,1982-01-01T00:00:00Z,Bengaluru Urban district,Point(77.560288888 12.970213888),2024-10-17T00:00:00Z,Rajarajeshwari Nagar,Point(77.510491666 12.926730555),,male,"12.970213888,77.560288888","12.926730555,77.510491666"
Prathyusha,1981-08-29T00:00:00Z,Andhra Pradesh,Point(80.866666666 16.85),2002-02-23T00:00:00Z,Hyderabad,Point(78.474722222 17.361666666),,female,"16.85,80.866666666","17.361666666,78.474722222"
Subi Suresh,1981-08-23T00:00:00Z,Ernakulam,Point(76.283611111 9.978333333),2023-02-22T00:00:00Z,Kochi,Point(76.283333333 9.966666666),,female,"9.978333333,76.283611111","9.966666666,76.283333333"
Subi Suresh,1981-08-23T00:00:00Z,Ernakulam,Point(76.299888888 9.981611111),2023-02-22T00:00:00Z,Kochi,Point(76.283333333 9.966666666),,female,"9.981611111,76.299888888","9.966666666,76.283333333"
Seema Desai,1981-08-20T00:00:00Z,East Singhbhum district,Point(86.1834 22.8),2013-06-14T00:00:00Z,Ranchi,Point(85.334722222 23.355555555),,female,"22.8,86.1834","23.355555555,85.334722222"
Seema Desai,1981-08-20T00:00:00Z,East Singhbhum district,Point(86.48341 22.59238),2013-06-14T00:00:00Z,Ranchi,Point(85.334722222 23.355555555),,female,"22.59238,86.48341","23.355555555,85.334722222"
Nishadh Yusuf,1981-02-09T00:00:00Z,Haripad,Point(76.466666666 9.3),2024-10-30T00:00:00Z,Kochi,Point(76.283333333 9.966666666),,male,"9.3,76.466666666","9.966666666,76.283333333"
Monal,1981-01-26T00:00:00Z,Delhi,Point(77.216666666 28.666666666),2002-04-14T00:00:00Z,Chennai,Point(80.275 13.0825),,female,"28.666666666,77.216666666","13.0825,80.275"
Devaneya Pavanar,1981-01-15T00:00:00Z,Tamil Nadu,Point(79.0 11.0),1981-01-15T00:00:00Z,Madurai,Point(78.119394444 9.919661111),,male,"11.0,79.0","9.919661111,78.119394444"
Sheetal Amte,1981-01-01T00:00:00Z,Warora,Point(79.0 20.23),2020-11-30T00:00:00Z,Chandrapur,Point(79.3 19.95),,female,"20.23,79.0","19.95,79.3"
Ranjani Hebbar,1981-01-01T00:00:00Z,Udupi,Point(74.746111111 13.332222222),2013-07-10T00:00:00Z,Udupi,Point(74.746111111 13.332222222),,female,"13.332222222,74.746111111","13.332222222,74.746111111"
Ranjani Hebbar,1981-01-01T00:00:00Z,Udupi,Point(74.74617 13.33467),2013-07-10T00:00:00Z,Udupi,Point(74.746111111 13.332222222),,female,"13.33467,74.74617","13.332222222,74.746111111"
Ranjani Hebbar,1981-01-01T00:00:00Z,Udupi,Point(74.746111111 13.332222222),2013-07-10T00:00:00Z,Udupi,Point(74.74617 13.33467),,female,"13.332222222,74.746111111","13.33467,74.74617"
Ranjani Hebbar,1981-01-01T00:00:00Z,Udupi,Point(74.74617 13.33467),2013-07-10T00:00:00Z,Udupi,Point(74.74617 13.33467),,female,"13.33467,74.74617","13.33467,74.74617"
Dharmesh Sangwan,1980-12-29T00:00:00Z,Bhiwani,Point(76.133333333 28.783333333),2013-12-20T00:00:00Z,South Sudan,Point(30.0 7.0),,male,"28.783333333,76.133333333","7.0,30.0"
Dharmesh Sangwan,1980-12-29T00:00:00Z,Bhiwani,Point(76.139722222 28.793055555),2013-12-20T00:00:00Z,South Sudan,Point(30.0 7.0),,male,"28.793055555,76.139722222","7.0,30.0"
Sidharth Shukla,1980-12-12T00:00:00Z,Mumbai,Point(72.8775 19.075833333),2021-09-02T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,male,"19.075833333,72.8775","19.075833333,72.8775"
R Dhanarajan,1980-10-27T00:00:00Z,Kerala,Point(76.3 10.0),2019-12-29T00:00:00Z,Perinthalmanna,Point(76.23 10.98),,male,"10.0,76.3","10.98,76.23"
Chiranjeevi Sarja,1980-10-17T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),2020-06-07T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),,male,"12.9791198,77.5912997","12.9791198,77.5912997"
Sunil Kumar Choudhary,1980-06-22T00:00:00Z,Kathua district,Point(75.5 32.583333333),2008-01-27T00:00:00Z,Tinsukia district,Point(95.360144444 27.489463888),,male,"32.583333333,75.5","27.489463888,95.360144444"
Radhakrishnan Nair Harshan,1980-04-15T00:00:00Z,Thiruvananthapuram,Point(76.9525 8.4875),2007-03-20T00:00:00Z,Jammu and Kashmir,Point(76.5 34.0),,male,"8.4875,76.9525","34.0,76.5"
Uday Kiran,1980-01-26T00:00:00Z,Hyderabad,Point(78.474722222 17.361666666),2014-01-05T00:00:00Z,Hyderabad,Point(78.474722222 17.361666666),,male,"17.361666666,78.474722222","17.361666666,78.474722222"
Uday Kiran,1980-01-26T00:00:00Z,Hyderabad,Point(78.474722222 17.361666666),2014-01-06T00:00:00Z,Hyderabad,Point(78.474722222 17.361666666),,male,"17.361666666,78.474722222","17.361666666,78.474722222"
Dileepan,1980-01-01T00:00:00Z,Pudukkottai,Point(78.816666666 10.383333333),2012-10-13T00:00:00Z,Madurai,Point(78.119394444 9.919661111),,male,"10.383333333,78.816666666","9.919661111,78.119394444"
Rohit Sardana,1979-09-22T00:00:00Z,Kurukshetra district,Point(76.75 30.0),2021-04-30T00:00:00Z,Noida,Point(77.32 28.57),,male,"30.0,76.75","28.57,77.32"
Rohit Sardana,1979-09-22T00:00:00Z,Kurukshetra district,Point(76.85 29.97),2021-04-30T00:00:00Z,Noida,Point(77.32 28.57),,male,"29.97,76.85","28.57,77.32"
Sonali Phogat,1979-09-21T00:00:00Z,Haryana,Point(76.324722222 29.184166666),2022-08-23T00:00:00Z,Goa,Point(74.043333333 15.401944444),,female,"29.184166666,76.324722222","15.401944444,74.043333333"
D. K. Ravi,1979-06-10T00:00:00Z,Tumkur district,Point(77.1 13.34),2015-03-16T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),,male,"13.34,77.1","12.9791198,77.5912997"
Bhitali Das,1979-06-06T00:00:00Z,Assam,Point(93.0 26.0),2021-04-21T00:00:00Z,Guwahati,Point(91.750238 26.1805876),,female,"26.0,93.0","26.1805876,91.750238"
Nivedita Jain,1979-05-17T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),1998-06-10T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),,female,"12.9791198,77.5912997","12.9791198,77.5912997"
Jishnu Raghavan,1979-04-23T00:00:00Z,Kannur,Point(75.355555555 11.868888888),2016-03-25T00:00:00Z,Kochi,Point(76.283333333 9.966666666),,male,"11.868888888,75.355555555","9.966666666,76.283333333"
Deep Sidhu,1979-04-02T00:00:00Z,Sri Muktsar Sahib,Point(74.515 30.475),2022-02-15T00:00:00Z,Kharkhoda,Point(76.5 28.52),,male,"30.475,74.515","28.52,76.5"
Deep Sidhu,1979-04-02T00:00:00Z,Sri Muktsar Sahib,Point(74.515 30.475),2022-02-15T00:00:00Z,Kharkhoda,Point(76.910555555 28.878611111),,male,"30.475,74.515","28.878611111,76.910555555"
Dingko Singh,1979-01-01T00:00:00Z,Sekta,Point(94.037 24.887),2021-06-10T00:00:00Z,Sekta,Point(94.037 24.887),,male,"24.887,94.037","24.887,94.037"
Kafeel Ahmed,1979-01-01T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),2007-08-02T00:00:00Z,Glasgow Royal Infirmary,Point(-4.234177777 55.864461111),,male,"12.9791198,77.5912997","55.864461111,-4.234177777"
Romey Gill,1979-01-01T00:00:00Z,Moga,Point(75.17 30.816666666),2009-06-24T00:00:00Z,Ludhiana,Point(75.848611111 30.908333333),,male,"30.816666666,75.17","30.908333333,75.848611111"
Dinesh Raghu Raman,1978-04-06T00:00:00Z,New Delhi,Point(77.208888888 28.613888888),2007-10-02T00:00:00Z,Baramulla,Point(74.342777777 34.208888888),,male,"28.613888888,77.208888888","34.208888888,74.342777777"
Nafisa Joseph,1978-03-28T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),2004-07-29T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,female,"12.9791198,77.5912997","19.075833333,72.8775"
Kishore Te.,1978-03-24T00:00:00Z,Valavanur,Point(79.58 11.92),2015-03-06T00:00:00Z,Chennai,Point(80.275 13.0825),,male,"11.92,79.58","13.0825,80.275"
Sai Gundewar,1978-02-22T00:00:00Z,India,Point(83.0 22.8),2020-05-10T00:00:00Z,Los Angeles,Point(-118.24368 34.05223),,male,"22.8,83.0","34.05223,-118.24368"
Mohit Sharma,1978-01-13T00:00:00Z,Rohtak,Point(76.566666666 28.9),2009-03-21T00:00:00Z,Kupwara district,Point(74.25 34.52),,male,"28.9,76.566666666","34.52,74.25"
Hardeep Singh Nijjar,1977-10-11T00:00:00Z,Jalandhar District,Point(75.57 31.33),2023-06-18T00:00:00Z,Surrey,Point(-122.85 49.1833),,male,"31.33,75.57","49.1833,-122.85"
Kunal Singh,1977-09-29T00:00:00Z,Haryana,Point(76.324722222 29.184166666),2008-02-07T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,male,"29.184166666,76.324722222","19.075833333,72.8775"
Kalia Kulothungan,1977-09-28T00:00:00Z,Thanjavur,Point(79.137806 10.787),2018-07-28T00:00:00Z,Thanjavur,Point(79.137806 10.787),,male,"10.787,79.137806","10.787,79.137806"
Prathibha Srikanth Murthy,1977-05-01T00:00:00Z,Karnataka,Point(76.0 15.0),2005-12-13T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),,female,"15.0,76.0","12.9791198,77.5912997"
Sandeep Unnikrishnan,1977-03-15T00:00:00Z,Kozhikode,Point(75.780277777 11.247777777),2008-11-28T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,male,"11.247777777,75.780277777","19.075833333,72.8775"
Sainoj,1977-02-21T00:00:00Z,Kerala,Point(76.3 10.0),2009-11-22T00:00:00Z,Ernakulam,Point(76.283611111 9.978333333),,male,"10.0,76.3","9.978333333,76.283611111"
Sainoj,1977-02-21T00:00:00Z,Kerala,Point(76.3 10.0),2009-11-22T00:00:00Z,Ernakulam,Point(76.299888888 9.981611111),,male,"10.0,76.3","9.981611111,76.299888888"
Vadivel Balaji,1977-02-17T00:00:00Z,Madurai,Point(78.119394444 9.919661111),2020-09-10T00:00:00Z,Chennai,Point(80.275 13.0825),,male,"9.919661111,78.119394444","13.0825,80.275"
K.Armstrong,1977-01-31T00:00:00Z,Perambur,Point(80.244944444 13.112194444),2024-07-05T00:00:00Z,Chennai,Point(80.275 13.0825),,male,"13.112194444,80.244944444","13.0825,80.275"
Shahid Azmi,1977-01-01T00:00:00Z,Mumbai,Point(72.8775 19.075833333),2010-02-11T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,male,"19.075833333,72.8775","19.075833333,72.8775"
Rizwanur Rahman,1977-01-01T00:00:00Z,Kolkata,Point(88.37 22.5675),2007-09-21T00:00:00Z,Kolkata,Point(88.37 22.5675),,male,"22.5675,88.37","22.5675,88.37"
M. Jaishankar,1977-01-01T00:00:00Z,Salem district,Point(78.146 11.6646),2018-02-27T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),,male,"11.6646,78.146","12.9791198,77.5912997"
P Vijay Kumar,1977-01-01T00:00:00Z,Jamshedpur,Point(86.183333333 22.8),2015-11-19T00:00:00Z,Jamshedpur,Point(86.183333333 22.8),,male,"22.8,86.183333333","22.8,86.183333333"
Jagdish Lad,1977-01-01T00:00:00Z,Sangli,Point(74.566666666 16.866666666),2021-04-30T00:00:00Z,Vadodara,Point(73.2 22.3),,male,"16.866666666,74.566666666","22.3,73.2"
Lokendra Singh,1976-12-15T00:00:00Z,Bijnor district,Point(78.516666666 29.416666666),2018-02-21T00:00:00Z,Sitapur,Point(80.683333333 27.566666666),,male,"29.416666666,78.516666666","27.566666666,80.683333333"
